Category,Allocated UUID,Allocated for,,,,,
16-bit UUID for Members,0xFD53,PCI Private Limited,,,,,
16-bit UUID for Members,0xFD54,"Qingdao Haier Technology Co., Ltd.",,,,,
16-bit UUID for Members,0xFD55,"Braveheart Wireless, Inc.",,,,,
16-bit UUID for Members,0xFD56,Resmed Ltd,,,,,
16-bit UUID for Members,0xFD57,Volvo Car Corporation,,,,,
16-bit UUID for Members,0xFD58,Volvo Car Corporation,,,,,
16-bit UUID for Members,0xFD59,"Samsung Electronics Co., Ltd.",,,,,
16-bit UUID for Members,0xFD5A,"Samsung Electronics Co., Ltd.",,,,,
16-bit UUID for Members,0xFD5B,V2SOFT INC.,,,,,
16-bit UUID for Members,0xFD5C,React Mobile,,,,,
16-bit UUID for Members,0xFD5D,maxon motor ltd.,,,,,
16-bit UUID for Members,0xFD5E,Tapkey GmbH,,,,,
16-bit UUID for Members,0xFD5F,"Oculus VR, LLC",,,,,
16-bit UUID for Members,0xFD60,Sercomm Corporation,,,,,
16-bit UUID for Members,0xFD61,Arendi AG,,,,,
16-bit UUID for Members,0xFD62,"Fitbit, Inc.",,,,,
16-bit UUID for Members,0xFD63,"Fitbit, Inc.",,,,,
16-bit UUID for Members,0xFD64,INRIA,,,,,
16-bit UUID for Members,0xFD65,Razer Inc.,,,,,
16-bit UUID for Members,0xFD66,Zebra Technologies Corporation,,,,,
16-bit UUID for Members,0xFD67,Montblanc Simplo GmbH,,,,,
16-bit UUID for Members,0xFD68,Ubique Innovation AG,,,,,
16-bit UUID for Members,0xFD69,"Samsung Electronics Co., Ltd",,,,,
16-bit UUID for Members,0xFD6A,Emerson,,,,,
16-bit UUID for Members,0xFD6B,rapitag GmbH,,,,,
16-bit UUID for Members,0xFD6C,"Samsung Electronics Co., Ltd.",,,,,
16-bit UUID for Members,0xFD6D,Sigma Elektro GmbH,,,,,
16-bit UUID for Members,0xFD6E,Polidea sp. z o.o.,,,,,
16-bit UUID for Members,0xFD6F,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFD70,"GuangDong Oppo Mobile Telecommunications Corp., Ltd",,,,,
16-bit UUID for Members,0xFD71,GN Hearing A/S,,,,,
16-bit UUID for Members,0xFD72,Logitech International SA,,,,,
16-bit UUID for Members,0xFD73,BRControls Products BV,,,,,
16-bit UUID for Members,0xFD74,BRControls Products BV,,,,,
16-bit UUID for Members,0xFD75,Insulet Corporation,,,,,
16-bit UUID for Members,0xFD76,Insulet Corporation,,,,,
16-bit UUID for Members,0xFD77,Withings,,,,,
16-bit UUID for Members,0xFD78,Withings,,,,,
16-bit UUID for Members,0xFD79,Withings,,,,,
16-bit UUID for Members,0xFD7A,Withings,,,,,
16-bit UUID for Members,0xFD7B,"WYZE LABS, INC.",,,,,
16-bit UUID for Members,0xFD7C,Toshiba Information Systems(Japan) Corporation,,,,,
16-bit UUID for Members,0xFD7D,Center for Advanced Research Wernher Von Braun,,,,,
16-bit UUID for Members,0xFD7E,"Samsung Electronics Co., Ltd.",,,,,
16-bit UUID for Members,0xFD7F,Husqvarna AB,,,,,
16-bit UUID for Members,0xFD80,"Phindex Technologies, Inc",,,,,
16-bit UUID for Members,0xFD81,"CANDY HOUSE, Inc.",,,,,
16-bit UUID for Members,0xFD82,Sony Corporation,,,,,
16-bit UUID for Members,0xFD83,iNFORM Technology GmbH,,,,,
16-bit UUID for Members,0xFD84,"Tile, Inc.",,,,,
16-bit UUID for Members,0xFD85,Husqvarna AB,,,,,
16-bit UUID for Members,0xFD86,Abbott,,,,,
16-bit UUID for Members,0xFD87,Google LLC,,,,,
16-bit UUID for Members,0xFD88,Urbanminded LTD,,,,,
16-bit UUID for Members,0xFD89,Urbanminded LTD,,,,,
16-bit UUID for Members,0xFD8A,Signify Netherlands B.V.,,,,,
16-bit UUID for Members,0xFD8B,Jigowatts Inc.,,,,,
16-bit UUID for Members,0xFD8C,Google LLC,,,,,
16-bit UUID for Members,0xFD8D,quip NYC Inc.,,,,,
16-bit UUID for Members,0xFD8E,Motorola Solutions,,,,,
16-bit UUID for Members,0xFD8F,Matrix ComSec Pvt. Ltd.,,,,,
16-bit UUID for Members,0xFD90,"Guangzhou SuperSound Information Technology Co.,Ltd",,,,,
16-bit UUID for Members,0xFD91,"Groove X, Inc.",,,,,
16-bit UUID for Members,0xFD92,"Qualcomm Technologies International, Ltd. (QTIL)",,,,,
16-bit UUID for Members,0xFD93,Bayerische Motoren Werke AG,,,,,
16-bit UUID for Members,0xFD94,Hewlett Packard Enterprise,,,,,
16-bit UUID for Members,0xFD95,Rigado,,,,,
16-bit UUID for Members,0xFD96,Google LLC,,,,,
16-bit UUID for Members,0xFD97,"June Life, Inc.",,,,,
16-bit UUID for Members,0xFD98,"Disney Worldwide Services, Inc.",,,,,
16-bit UUID for Members,0xFD99,ABB Oy,,,,,
16-bit UUID for Members,0xFD9A,"Huawei Technologies Co., Ltd.",,,,,
16-bit UUID for Members,0xFD9B,"Huawei Technologies Co., Ltd.",,,,,
16-bit UUID for Members,0xFD9C,"Huawei Technologies Co., Ltd.",,,,,
16-bit UUID for Members,0xFD9D,Gastec Corporation,,,,,
16-bit UUID for Members,0xFD9E,The Coca-Cola Company,,,,,
16-bit UUID for Members,0xFD9F,VitalTech Affiliates LLC,,,,,
16-bit UUID for Members,0xFDA0,Secugen Corporation,,,,,
16-bit UUID for Members,0xFDA1,"Groove X, Inc",,,,,
16-bit UUID for Members,0xFDA2,"Groove X, Inc",,,,,
16-bit UUID for Members,0xFDA3,Inseego Corp.,,,,,
16-bit UUID for Members,0xFDA4,Inseego Corp.,,,,,
16-bit UUID for Members,0xFDA5,"Neurostim OAB, Inc.",,,,,
16-bit UUID for Members,0xFDA6,WWZN Information Technology Company Limited,,,,,
16-bit UUID for Members,0xFDA7,WWZN Information Technology Company Limited,,,,,
16-bit UUID for Members,0xFDA8,PSA Peugeot Citroën,,,,,
16-bit UUID for Members,0xFDA9,"Rhombus Systems, Inc.",,,,,
16-bit UUID for Members,0xFDAA,Xiaomi Inc.,,,,,
16-bit UUID for Members,0xFDAB,Xiaomi Inc.,,,,,
16-bit UUID for Members,0xFDAC,Tentacle Sync GmbH,,,,,
16-bit UUID for Members,0xFDAD,"Houwa System Design, k.k.",,,,,
16-bit UUID for Members,0xFDAE,"Houwa System Design, k.k.",,,,,
16-bit UUID for Members,0xFDAF,Wiliot LTD,,,,,
16-bit UUID for Members,0xFDB0,"Proxy Technologies, Inc.",,,,,
16-bit UUID for Members,0xFDB1,"Proxy Technologies, Inc.",,,,,
16-bit UUID for Members,0xFDB2,Portable Multimedia Ltd,,,,,
16-bit UUID for Members,0xFDB3,Audiodo AB,,,,,
16-bit UUID for Members,0xFDB4,HP Inc,,,,,
16-bit UUID for Members,0xFDB5,ECSG,,,,,
16-bit UUID for Members,0xFDB6,GWA Hygiene GmbH,,,,,
16-bit UUID for Members,0xFDB7,LivaNova USA Inc.,,,,,
16-bit UUID for Members,0xFDB8,LivaNova USA Inc.,,,,,
16-bit UUID for Members,0xFDB9,Comcast Cable Corporation,,,,,
16-bit UUID for Members,0xFDBA,Comcast Cable Corporation,,,,,
16-bit UUID for Members,0xFDBB,Profoto,,,,,
16-bit UUID for Members,0xFDBC,Emerson,,,,,
16-bit UUID for Members,0xFDBD,"Clover Network, Inc.",,,,,
16-bit UUID for Members,0xFDBE,California Things Inc.,,,,,
16-bit UUID for Members,0xFDBF,California Things Inc.,,,,,
16-bit UUID for Members,0xFDC0,Hunter Douglas,,,,,
16-bit UUID for Members,0xFDC1,Hunter Douglas,,,,,
16-bit UUID for Members,0xFDC2,"Baidu Online Network Technology (Beijing) Co., Ltd",,,,,
16-bit UUID for Members,0xFDC3,"Baidu Online Network Technology (Beijing) Co., Ltd",,,,,
16-bit UUID for Members,0xFDC4,Simavita (Aust) Pty Ltd,,,,,
16-bit UUID for Members,0xFDC5,Automatic Labs,,,,,
16-bit UUID for Members,0xFDC6,Eli Lilly and Company,,,,,
16-bit UUID for Members,0xFDC7,Eli Lilly and Company,,,,,
16-bit UUID for Members,0xFDC8,Hach – Danaher,,,,,
16-bit UUID for Members,0xFDC9,Busch-Jaeger Elektro GmbH,,,,,
16-bit UUID for Members,0xFDCA,Fortin Electronic Systems,,,,,
16-bit UUID for Members,0xFDCB,Meggitt SA,,,,,
16-bit UUID for Members,0xFDCC,Shoof Technologies,,,,,
16-bit UUID for Members,0xFDCD,"Qingping Technology (Beijing) Co., Ltd.",,,,,
16-bit UUID for Members,0xFDCE,SENNHEISER electronic GmbH & Co. KG,,,,,
16-bit UUID for Members,0xFDCF,"Nalu Medical, Inc",,,,,
16-bit UUID for Members,0xFDD0,"Huawei Technologies Co., Ltd",,,,,
16-bit UUID for Members,0xFDD1,"Huawei Technologies Co., Ltd",,,,,
16-bit UUID for Members,0xFDD2,Bose Corporation,,,,,
16-bit UUID for Members,0xFDD3,FUBA Automotive Electronics GmbH,,,,,
16-bit UUID for Members,0xFDD4,LX Solutions Pty Limited,,,,,
16-bit UUID for Members,0xFDD5,Brompton Bicycle Ltd,,,,,
16-bit UUID for Members,0xFDD6,Ministry of Supply,,,,,
16-bit UUID for Members,0xFDD7,Emerson,,,,,
16-bit UUID for Members,0xFDD8,"Jiangsu Teranovo Tech Co., Ltd.",,,,,
16-bit UUID for Members,0xFDD9,"Jiangsu Teranovo Tech Co., Ltd.",,,,,
16-bit UUID for Members,0xFDDA,MHCS,,,,,
16-bit UUID for Members,0xFDDB,"Samsung Electronics Co., Ltd.",,,,,
16-bit UUID for Members,0xFDDC,4iiii Innovations Inc.,,,,,
16-bit UUID for Members,0xFDDD,Arch Systems Inc,,,,,
16-bit UUID for Members,0xFDDE,Noodle Technology Inc.,,,,,
16-bit UUID for Members,0xFDDF,Harman International,,,,,
16-bit UUID for Members,0xFDE0,John Deere,,,,,
16-bit UUID for Members,0xFDE1,Fortin Electronic Systems,,,,,
16-bit UUID for Members,0xFDE2,Google Inc.,,,,,
16-bit UUID for Members,0xFDE3,Abbott Diabetes Care,,,,,
16-bit UUID for Members,0xFDE4,"JUUL Labs, Inc.",,,,,
16-bit UUID for Members,0xFDE5,SMK Corporation,,,,,
16-bit UUID for Members,0xFDE6,Intelletto Technologies Inc,,,,,
16-bit UUID for Members,0xFDE7,"SECOM Co., LTD",,,,,
16-bit UUID for Members,0xFDE8,Robert Bosch GmbH,,,,,
16-bit UUID for Members,0xFDE9,Spacesaver Corporation,,,,,
16-bit UUID for Members,0xFDEA,"SeeScan, Inc",,,,,
16-bit UUID for Members,0xFDEB,Syntronix Corporation,,,,,
16-bit UUID for Members,0xFDEC,Mannkind Corporation,,,,,
16-bit UUID for Members,0xFDED,Pole Star,,,,,
16-bit UUID for Members,0xFDEE,"Huawei Technologies Co., Ltd.",,,,,
16-bit UUID for Members,0xFDEF,"ART AND PROGRAM, INC.",,,,,
16-bit UUID for Members,0xFDF0,Google Inc.,,,,,
16-bit UUID for Members,0xFDF1,"LAMPLIGHT Co.,Ltd",,,,,
16-bit UUID for Members,0xFDF2,AMICCOM Electronics Corporation,,,,,
16-bit UUID for Members,0xFDF3,Amersports,,,,,
16-bit UUID for Members,0xFDF4,"O. E. M. Controls, Inc.",,,,,
16-bit UUID for Members,0xFDF5,Milwaukee Electric Tools,,,,,
16-bit UUID for Members,0xFDF6,AIAIAI ApS,,,,,
16-bit UUID for Members,0xFDF7,HP Inc.,,,,,
16-bit UUID for Members,0xFDF8,Onvocal,,,,,
16-bit UUID for Members,0xFDF9,INIA,,,,,
16-bit UUID for Members,0xFDFA,Tandem Diabetes Care,,,,,
16-bit UUID for Members,0xFDFB,Tandem Diabetes Care,,,,,
16-bit UUID for Members,0xFDFC,Optrel AG,,,,,
16-bit UUID for Members,0xFDFD,RecursiveSoft Inc.,,,,,
16-bit UUID for Members,0xFDFE,ADHERIUM(NZ) LIMITED,,,,,
16-bit UUID for Members,0xFDFF,OSRAM GmbH,,,,,
16-bit UUID for Members,0xFE00,"Amazon.com Services, Inc.",,,,,
16-bit UUID for Members,0xFE01,Duracell U.S. Operations Inc.,,,,,
16-bit UUID for Members,0xFE02,Robert Bosch GmbH,,,,,
16-bit UUID for Members,0xFE03,"Amazon.com Services, Inc.",,,,,
16-bit UUID for Members,0xFE04,OpenPath Security Inc,,,,,
16-bit UUID for Members,0xFE05,CORE Transport Technologies NZ Limited,,,,,
16-bit UUID for Members,0xFE06,"Qualcomm Technologies, Inc.",,,,,
16-bit UUID for Members,0xFE07,"Sonos, Inc.",,,,,
16-bit UUID for Members,0xFE08,Microsoft,,,,,
16-bit UUID for Members,0xFE09,"Pillsy, Inc.",,,,,
16-bit UUID for Members,0xFE0A,ruwido austria gmbh,,,,,
16-bit UUID for Members,0xFE0B,ruwido austria gmbh,,,,,
16-bit UUID for Members,0xFE0C,Procter & Gamble,,,,,
16-bit UUID for Members,0xFE0D,Procter & Gamble,,,,,
16-bit UUID for Members,0xFE0E,Setec Pty Ltd,,,,,
16-bit UUID for Members,0xFE0F,Signify Netherlands B.V. (formerly Philips Lighting B.V.),,,,,
16-bit UUID for Members,0xFE10,"LAPIS Technology Co., Ltd.",,,,,
16-bit UUID for Members,0xFE11,GMC-I Messtechnik GmbH,,,,,
16-bit UUID for Members,0xFE12,M-Way Solutions GmbH,,,,,
16-bit UUID for Members,0xFE13,Apple Inc.,,,,,
16-bit UUID for Members,0xFE14,Flextronics International USA Inc.,,,,,
16-bit UUID for Members,0xFE15,"Amazon.com Services, Inc..",,,,,
16-bit UUID for Members,0xFE16,"Footmarks, Inc.",,,,,
16-bit UUID for Members,0xFE17,Telit Wireless Solutions GmbH,,,,,
16-bit UUID for Members,0xFE18,"Runtime, Inc.",,,,,
16-bit UUID for Members,0xFE19,"Google, Inc",,,,,
16-bit UUID for Members,0xFE1A,Tyto Life LLC,,,,,
16-bit UUID for Members,0xFE1B,Tyto Life LLC,,,,,
16-bit UUID for Members,0xFE1C,"NetMedia, Inc.",,,,,
16-bit UUID for Members,0xFE1D,Illuminati Instrument Corporation,,,,,
16-bit UUID for Members,0xFE1E,"Smart Innovations Co., Ltd",,,,,
16-bit UUID for Members,0xFE1F,"Garmin International, Inc.",,,,,
16-bit UUID for Members,0xFE20,Emerson,,,,,
16-bit UUID for Members,0xFE21,Bose Corporation,,,,,
16-bit UUID for Members,0xFE22,Zoll Medical Corporation,,,,,
16-bit UUID for Members,0xFE23,Zoll Medical Corporation,,,,,
16-bit UUID for Members,0xFE24,August Home Inc,,,,,
16-bit UUID for Members,0xFE25,"Apple, Inc.",,,,,
16-bit UUID for Members,0xFE26,Google,,,,,
16-bit UUID for Members,0xFE27,Google,,,,,
16-bit UUID for Members,0xFE28,Ayla Networks,,,,,
16-bit UUID for Members,0xFE29,Gibson Innovations,,,,,
16-bit UUID for Members,0xFE2A,"DaisyWorks, Inc.",,,,,
16-bit UUID for Members,0xFE2B,ITT Industries,,,,,
16-bit UUID for Members,0xFE2C,Google,,,,,
16-bit UUID for Members,0xFE2D,"SMART INNOVATION Co.,Ltd",,,,,
16-bit UUID for Members,0xFE2E,"ERi,Inc.",,,,,
16-bit UUID for Members,0xFE2F,"CRESCO Wireless, Inc",,,,,
16-bit UUID for Members,0xFE30,Volkswagen AG,,,,,
16-bit UUID for Members,0xFE31,Volkswagen AG,,,,,
16-bit UUID for Members,0xFE32,"Pro-Mark, Inc.",,,,,
16-bit UUID for Members,0xFE33,CHIPOLO d.o.o.,,,,,
16-bit UUID for Members,0xFE34,SmallLoop LLC,,,,,
16-bit UUID for Members,0xFE35,"HUAWEI Technologies Co., Ltd",,,,,
16-bit UUID for Members,0xFE36,"HUAWEI Technologies Co., Ltd",,,,,
16-bit UUID for Members,0xFE37,Spaceek LTD,,,,,
16-bit UUID for Members,0xFE38,Spaceek LTD,,,,,
16-bit UUID for Members,0xFE39,TTS Tooltechnic Systems AG & Co. KG,,,,,
16-bit UUID for Members,0xFE3A,TTS Tooltechnic Systems AG & Co. KG,,,,,
16-bit UUID for Members,0xFE3B,Dolby Laboratories,,,,,
16-bit UUID for Members,0xFE3C,alibaba,,,,,
16-bit UUID for Members,0xFE3D,BD Medical,,,,,
16-bit UUID for Members,0xFE3E,BD Medical,,,,,
16-bit UUID for Members,0xFE3F,Friday Labs Limited,,,,,
16-bit UUID for Members,0xFE40,Inugo Systems Limited,,,,,
16-bit UUID for Members,0xFE41,Inugo Systems Limited,,,,,
16-bit UUID for Members,0xFE42,Nets A/S,,,,,
16-bit UUID for Members,0xFE43,Andreas Stihl AG & Co. KG,,,,,
16-bit UUID for Members,0xFE44,SK Telecom,,,,,
16-bit UUID for Members,0xFE45,Snapchat Inc,,,,,
16-bit UUID for Members,0xFE46,B&O Play A/S,,,,,
16-bit UUID for Members,0xFE47,General Motors,,,,,
16-bit UUID for Members,0xFE48,General Motors,,,,,
16-bit UUID for Members,0xFE49,SenionLab AB,,,,,
16-bit UUID for Members,0xFE4A,"OMRON HEALTHCARE Co., Ltd.",,,,,
16-bit UUID for Members,0xFE4B,Signify Netherlands B.V. (formerly Philips Lighting B.V.),,,,,
16-bit UUID for Members,0xFE4C,Volkswagen AG,,,,,
16-bit UUID for Members,0xFE4D,Casambi Technologies Oy,,,,,
16-bit UUID for Members,0xFE4E,NTT docomo,,,,,
16-bit UUID for Members,0xFE4F,"Molekule, Inc.",,,,,
16-bit UUID for Members,0xFE50,Google Inc.,,,,,
16-bit UUID for Members,0xFE51,SRAM,,,,,
16-bit UUID for Members,0xFE52,SetPoint Medical,,,,,
16-bit UUID for Members,0xFE53,3M,,,,,
16-bit UUID for Members,0xFE54,"Motiv, Inc.",,,,,
16-bit UUID for Members,0xFE55,Google Inc.,,,,,
16-bit UUID for Members,0xFE56,Google Inc.,,,,,
16-bit UUID for Members,0xFE57,Dotted Labs,,,,,
16-bit UUID for Members,0xFE58,Nordic Semiconductor ASA,,,,,
16-bit UUID for Members,0xFE59,Nordic Semiconductor ASA,,,,,
16-bit UUID for Members,0xFE5A,Cronologics Corporation,,,,,
16-bit UUID for Members,0xFE5B,GT-tronics HK Ltd,,,,,
16-bit UUID for Members,0xFE5C,million hunters GmbH,,,,,
16-bit UUID for Members,0xFE5D,Grundfos A/S,,,,,
16-bit UUID for Members,0xFE5E,Plastc Corporation,,,,,
16-bit UUID for Members,0xFE5F,"Eyefi, Inc.",,,,,
16-bit UUID for Members,0xFE60,"Lierda Science & Technology Group Co., Ltd.",,,,,
16-bit UUID for Members,0xFE61,Logitech International SA,,,,,
16-bit UUID for Members,0xFE62,Indagem Tech LLC,,,,,
16-bit UUID for Members,0xFE63,"Connected Yard, Inc.",,,,,
16-bit UUID for Members,0xFE64,Siemens AG,,,,,
16-bit UUID for Members,0xFE65,CHIPOLO d.o.o.,,,,,
16-bit UUID for Members,0xFE66,Intel Corporation,,,,,
16-bit UUID for Members,0xFE67,Lab Sensor Solutions,,,,,
16-bit UUID for Members,0xFE68,Qualcomm Life Inc,,,,,
16-bit UUID for Members,0xFE69,Qualcomm Life Inc,,,,,
16-bit UUID for Members,0xFE6A,Kontakt Micro-Location Sp. z o.o.,,,,,
16-bit UUID for Members,0xFE6B,"TASER International, Inc.",,,,,
16-bit UUID for Members,0xFE6C,"TASER International, Inc.",,,,,
16-bit UUID for Members,0xFE6D,The University of Tokyo,,,,,
16-bit UUID for Members,0xFE6E,The University of Tokyo,,,,,
16-bit UUID for Members,0xFE6F,LINE Corporation,,,,,
16-bit UUID for Members,0xFE70,"Beijing Jingdong Century Trading Co., Ltd.",,,,,
16-bit UUID for Members,0xFE71,Plume Design Inc,,,,,
16-bit UUID for Members,0xFE72,"Abbott (formerly St. Jude Medical, Inc.)",,,,,
16-bit UUID for Members,0xFE73,"Abbott (formerly St. Jude Medical, Inc.)",,,,,
16-bit UUID for Members,0xFE74,unwire,,,,,
16-bit UUID for Members,0xFE75,TangoMe,,,,,
16-bit UUID for Members,0xFE76,TangoMe,,,,,
16-bit UUID for Members,0xFE77,Hewlett-Packard Company,,,,,
16-bit UUID for Members,0xFE78,Hewlett-Packard Company,,,,,
16-bit UUID for Members,0xFE79,Zebra Technologies,,,,,
16-bit UUID for Members,0xFE7A,Bragi GmbH,,,,,
16-bit UUID for Members,0xFE7B,"Orion Labs, Inc.",,,,,
16-bit UUID for Members,0xFE7C,Telit Wireless Solutions (Formerly Stollmann E+V GmbH),,,,,
16-bit UUID for Members,0xFE7D,Aterica Health Inc.,,,,,
16-bit UUID for Members,0xFE7E,Awear Solutions Ltd,,,,,
16-bit UUID for Members,0xFE7F,Doppler Lab,,,,,
16-bit UUID for Members,0xFE80,Doppler Lab,,,,,
16-bit UUID for Members,0xFE81,Medtronic Inc.,,,,,
16-bit UUID for Members,0xFE82,Medtronic Inc.,,,,,
16-bit UUID for Members,0xFE83,Blue Bite,,,,,
16-bit UUID for Members,0xFE84,RF Digital Corp,,,,,
